#         pdgid       name            stable      mass[GeV]      degeneracy      statistics      B      Q      S      C      |S|      |C|      width[GeV]      threshold[GeV]
             22       gamma           1           0.00000        2               1               0      0      0      0      0        0        0.000000        0
            111       pi0             1           0.13800        1              -1               0      0      0      0      0        0        7.7e-9          0
            211       pi+             1           0.13800        1              -1               0      1      0      0      0        0        7.7e-9          0
            221       eta             0           0.54800        1              -1               0      0      0      0      0        0        1.31e-06        0
        9000221       sigma           0           0.80000        1              -1               0      0      0      0      0        0        0.400000        0
            113       rho0            0           0.77600        3              -1               0      0      0      0      0        0        0.148000        0
            213       rho+            0           0.77600        3              -1               0      1      0      0      0        0        0.148000        0
            223       omega(782)      0           0.78300        3              -1               0      0      0      0      0        0        0.008680        0
            331       eta'(958)       0           0.95800        1              -1               0      0      0      0      0        0        0.000188        0
        9010221       f0(980)         0           0.99000        1              -1               0      0      0      0      0        0        0.055000        0
        9000111       a0(980)0        0           0.98900        1              -1               0      0      0      0      0        0        0.075000        0
        9000211       a0(980)+        0           0.98900        1              -1               0      1      0      0      0        0        0.075000        0
            333       phi(1020)       0           1.01950        3              -1               0      0      0      0      2        0        0.004250        0
          10223       h1(1170)        0           1.16600        3              -1               0      0      0      0      0        0        0.375000        0
          10113       b1(1235)0       0           1.22950        3              -1               0      0      0      0      0        0        0.142000        0
          10213       b1(1235)+       0           1.22950        3              -1               0      1      0      0      0        0        0.142000        0
          20113       a1(1260)0       0           1.23000        3              -1               0      0      0      0      0        0        0.425000        0
          20213       a1(1260)+       0           1.23000        3              -1               0      1      0      0      0        0        0.425000        0
            225       f2(1270)        0           1.27550        5              -1               0      0      0      0      0        0        0.186700        0
          20223       f1(1285)        0           1.37000        3              -1               0      0      0      0      0        0        0.022700        0
         100221       eta(1295)       0           1.29400        1              -1               0      0      0      0      0        0        0.055000        0
         100111       pi(1300)0       0           1.30000        1              -1               0      0      0      0      0        0        0.400000        0
         100211       pi(1300)+       0           1.30000        1              -1               0      1      0      0      0        0        0.400000        0
            115       a2(1320)0       0           1.37000        5              -1               0      0      0      0      0        0        0.105000        0
            215       a2(1320)+       0           1.37000        5              -1               0      1      0      0      0        0        0.105000        0
          10221       f0(1370)        0           1.35000        1              -1               0      0      0      0      2        0        0.350000        0
        9000113       pi1(1400)0      0           1.35400        3              -1               0      0      0      0      0        0        0.330000        0
        9000213       pi1(1400)+      0           1.35400        3              -1               0      1      0      0      0        0        0.330000        0
        9020221       eta(1405)       0           1.40880        1              -1               0      0      0      0      0        0        0.050100        0
          10333       h1(1415)        0           1.41600        3              -1               0      0      0      0      2        0        0.090000        0
          20333       f1(1420)        0           1.42630        3              -1               0      0      0      0      2        0        0.054500        0
         100223       omega(1420)     0           1.41000        3              -1               0      0      0      0      0        0        0.290000        0
        9000225       f2(1430)        0           1.43000        5              -1               0      0      0      0      0        0        0.013000        0
          10111       a0(1450)0       0           1.47400        1              -1               0      0      0      0      0        0        0.265000        0
          10211       a0(1450)+       0           1.47400        1              -1               0      1      0      0      0        0        0.265000        0
         100113       rho(1450)0      0           1.46500        3              -1               0      0      0      0      0        0        0.400000        0
         100213       rho(1450)+      0           1.46500        3              -1               0      1      0      0      0        0        0.400000        0
         100331       eta(1475)       0           1.47500        1              -1               0      0      0      0      0        0        0.090000        0
        9030221       f0(1500)        0           1.56000        1              -1               0      0      0      0      0        0        0.112000        0
        9000223       f1(1510)        0           1.51800        3              -1               0      0      0      0      0        0        0.073000        0
            335       f2'(1525)       0           1.51740        5              -1               0      0      0      0      2        0        0.086000        0
        9010225       f2(1565)        0           1.54900        5              -1               0      0      0      0      0        0        0.122000        0
        7030113       rho(1570)0      0           1.57000        3              -1               0      0      0      0      0        0        0.144000        0
        7030213       rho(1570)+      0           1.57000        3              -1               0      1      0      0      0        0        0.144000        0
        9010223       h1(1595)        0           1.59400        3              -1               0      0      0      0      0        0        0.384000        0
        9010113       pi1(1600)0      0           1.66100        3              -1               0      0      0      0      0        0        0.240000        0
        9010213       pi1(1600)+      0           1.66100        3              -1               0      1      0      0      0        0        0.240000        0
        9020225       f2(1640)        0           1.63900        5              -1               0      0      0      0      0        0        0.099000        0
        9020113       a1(1640)0       0           1.65500        3              -1               0      0      0      0      0        0        0.254000        0
        9020213       a1(1640)+       0           1.65500        3              -1               0      1      0      0      0        0        0.254000        0
          10225       eta2(1645)      0           1.61700        5              -1               0      0      0      0      0        0        0.181000        0
          30223       omega(1650)     0           1.67000        3              -1               0      0      0      0      0        0        0.315000        0
            227       omega3(1670)    0           1.66700        7              -1               0      0      0      0      0        0        0.168000        0
          10115       pi2(1670)0      0           1.67060        5              -1               0      0      0      0      0        0        0.258000        0
          10215       pi2(1670)+      0           1.67060        5              -1               0      1      0      0      0        0        0.258000        0
         100333       phi(1680)       0           1.68000        3              -1               0      0      0      0      2        0        0.150000        0
            117       rho3(1690)0     0           1.68880        7              -1               0      0      0      0      0        0        0.161000        0
            217       rho3(1690)+     0           1.68880        7              -1               0      1      0      0      0        0        0.161000        0
          30113       rho(1700)0      0           1.72000        3              -1               0      0      0      0      0        0        0.250000        0
          30213       rho(1700)+      0           1.72000        3              -1               0      1      0      0      0        0        0.250000        0
        9000115       a2(1700)0       0           1.69800        5              -1               0      0      0      0      0        0        0.265000        0
        9000215       a2(1700)+       0           1.69800        5              -1               0      1      0      0      0        0        0.265000        0
          10331       f0(1710)        0           1.70400        1              -1               0      0      0      0      0        0        0.123000        0
        9040221       eta(1760)       0           1.75100        1              -1               0      0      0      0      0        0        0.240000        0
        9010111       pi(1800)0       0           1.81000        1              -1               0      0      0      0      0        0        0.215000        0
        9010211       pi(1800)+       0           1.81000        1              -1               0      1      0      0      0        0        0.215000        0
        9030225       f2(1810)        0           1.81500        5              -1               0      0      0      0      0        0        0.197000        0
        7200221       X(1835)         0           1.87700        1              -1               0      0      0      0      0        0        0.242000        0
            337       phi3(1850)      0           1.85400        7              -1               0      0      0      0      2        0        0.087000        0
          10335       eta2(1870)      0           1.84200        5              -1               0      0      0      0      2        0        0.225000        0
        7110115       pi2(1880)0      0           1.87400        5              -1               0      0      0      0      0        0        0.237000        0
        7110215       pi2(1880)+      0           1.87400        5              -1               0      1      0      0      0        0        0.237000        0
        9030113       rho(1900)0      0           1.88600        3              -1               0      0      0      0      0        0        0.077000        0
        9030213       rho(1900)+      0           1.88600        3              -1               0      1      0      0      0        0        0.077000        0
        9040225       f2(1910)        0           1.90000        5              -1               0      0      0      0      0        0        0.167000        0
