T[MeV],muB[MeV],muS[MeV],muQ[MeV],nB[1/fm^3],nS[1/fm^3],nQ[1/fm^3],Q/B,e[MeV/fm^3],s[1/fm^3],s/nB,chi2,chi2/N_dof
143.0000000000,370.00001000,0.00000000,-2.50000000,1.197618e-01,4.568214e-15,5.665250e-02,4.730432e-01,3.673172e+02,2.653992e+00,2.216059e+01,17.987455,2.997909
143.0000000000,375.00001000,0.00000000,-7.00000000,1.219969e-01,1.339654e-14,5.188396e-02,4.252893e-01,3.708949e+02,2.673030e+00,2.191065e+01,17.843201,2.973867
143.0000000000,375.00001000,0.00000000,-6.50000000,1.221825e-01,1.250340e-14,5.262256e-02,4.306883e-01,3.711727e+02,2.674521e+00,2.188956e+01,17.710412,2.951735
143.0000000000,375.00001000,0.00000000,-6.00000000,1.223693e-01,1.164688e-14,5.336251e-02,4.360776e-01,3.714534e+02,2.676025e+00,2.186844e+01,17.612723,2.935454
143.0000000000,375.00001000,0.00000000,-5.50000000,1.225573e-01,1.085102e-14,5.410382e-02,4.414572e-01,3.717368e+02,2.677544e+00,2.184728e+01,17.549629,2.924938
143.0000000000,375.00001000,0.00000000,-5.00000000,1.227465e-01,1.014266e-14,5.484650e-02,4.468273e-01,3.720231e+02,2.679077e+00,2.182609e+01,17.520632,2.920105
143.0000000000,375.00001000,0.00000000,-4.50000000,1.229370e-01,9.408538e-15,5.559059e-02,4.521877e-01,3.723122e+02,2.680625e+00,2.180487e+01,17.525238,2.920873
143.0000000000,375.00001000,0.00000000,-4.00000000,1.231286e-01,8.818709e-15,5.633609e-02,4.575386e-01,3.726042e+02,2.682186e+00,2.178361e+01,17.562963,2.927160
143.0000000000,375.00001000,0.00000000,-3.50000000,1.233215e-01,8.226130e-15,5.708301e-02,4.628798e-01,3.728990e+02,2.683762e+00,2.176232e+01,17.633326,2.938888
143.0000000000,375.00001000,0.00000000,-3.00000000,1.235155e-01,7.611926e-15,5.783139e-02,4.682114e-01,3.731967e+02,2.685352e+00,2.174100e+01,17.735854,2.955976
143.0000000000,375.00001000,0.00000000,-2.50000000,1.237109e-01,7.061914e-15,5.858123e-02,4.735334e-01,3.734973e+02,2.686956e+00,2.171964e+01,17.870079,2.978346
143.0000000000,380.00001000,0.00000000,-7.50000000,1.258273e-01,2.158562e-14,5.301431e-02,4.213261e-01,3.769053e+02,2.705006e+00,2.149777e+01,17.987373,2.997896
143.0000000000,380.00001000,0.00000000,-7.00000000,1.260176e-01,2.018645e-14,5.376364e-02,4.266360e-01,3.771897e+02,2.706527e+00,2.147737e+01,17.969510,2.994918
143.0000000000,380.00001000,0.00000000,-6.50000000,1.262092e-01,1.886138e-14,5.451435e-02,4.319366e-01,3.774770e+02,2.708062e+00,2.145694e+01,17.984814,2.997469
144.0000000000,375.00001000,0.00000000,-7.50000000,1.285616e-01,2.295964e-14,5.415620e-02,4.212472e-01,3.905329e+02,2.792836e+00,2.172372e+01,17.899720,2.983287
144.0000000000,375.00001000,0.00000000,-7.00000000,1.287549e-01,2.150156e-14,5.492200e-02,4.265623e-01,3.908227e+02,2.794384e+00,2.170312e+01,17.681962,2.946994
144.0000000000,375.00001000,0.00000000,-6.50000000,1.289495e-01,2.015514e-14,5.568920e-02,4.318681e-01,3.911154e+02,2.795946e+00,2.168248e+01,17.500065,2.916678
144.0000000000,375.00001000,0.00000000,-6.00000000,1.291454e-01,1.885483e-14,5.645780e-02,4.371647e-01,3.914110e+02,2.797522e+00,2.166181e+01,17.353517,2.892253
144.0000000000,375.00001000,0.00000000,-5.50000000,1.293425e-01,1.763560e-14,5.722782e-02,4.424519e-01,3.917096e+02,2.799113e+00,2.164110e+01,17.241809,2.873635
144.0000000000,375.00001000,0.00000000,-5.00000000,1.295408e-01,1.647538e-14,5.799929e-02,4.477299e-01,3.920112e+02,2.800719e+00,2.162036e+01,17.164442,2.860740
144.0000000000,375.00001000,0.00000000,-4.50000000,1.297404e-01,1.542511e-14,5.877222e-02,4.529986e-01,3.923157e+02,2.802340e+00,2.159959e+01,17.120921,2.853487
144.0000000000,375.00001000,0.00000000,-4.00000000,1.299413e-01,1.439475e-14,5.954663e-02,4.582580e-01,3.926232e+02,2.803975e+00,2.157879e+01,17.110759,2.851793
144.0000000000,375.00001000,0.00000000,-3.50000000,1.301434e-01,1.343929e-14,6.032253e-02,4.635081e-01,3.929337e+02,2.805625e+00,2.155795e+01,17.133475,2.855579
144.0000000000,375.00001000,0.00000000,-3.00000000,1.303468e-01,1.253495e-14,6.109994e-02,4.687490e-01,3.932471e+02,2.807289e+00,2.153707e+01,17.188593,2.864765
144.0000000000,375.00001000,0.00000000,-2.50000000,1.305515e-01,1.168246e-14,6.187889e-02,4.739806e-01,3.935636e+02,2.808969e+00,2.151617e+01,17.275643,2.879274
144.0000000000,375.00001000,0.00000000,-2.00000000,1.307575e-01,1.093406e-14,6.265938e-02,4.792030e-01,3.938831e+02,2.810663e+00,2.149523e+01,17.394164,2.899027
144.0000000000,375.00001000,0.00000000,-1.50000000,1.309648e-01,1.017755e-14,6.344144e-02,4.844161e-01,3.942055e+02,2.812372e+00,2.147426e+01,17.543697,2.923949
144.0000000000,375.00001000,0.00000000,-1.00000000,1.311733e-01,9.464194e-15,6.422508e-02,4.896200e-01,3.945310e+02,2.814096e+00,2.145326e+01,17.723790,2.953965
144.0000000000,375.00001000,0.00000000,-0.50000000,1.313832e-01,8.884139e-15,6.501033e-02,4.948146e-01,3.948595e+02,2.815835e+00,2.143223e+01,17.934000,2.989000
144.0000000000,380.00001000,0.00000000,-9.50000000,1.319838e-01,4.407281e-14,5.301441e-02,4.016736e-01,3.959789e+02,2.821617e+00,2.137851e+01,17.779811,2.963302
144.0000000000,380.00001000,0.00000000,-9.00000000,1.321782e-01,4.138308e-14,5.378720e-02,4.069294e-01,3.962666e+02,2.823151e+00,2.135868e+01,17.583613,2.930602
144.0000000000,380.00001000,0.00000000,-8.50000000,1.323739e-01,3.882141e-14,5.456136e-02,4.121763e-01,3.965573e+02,2.824701e+00,2.133881e+01,17.422668,2.903778
144.0000000000,380.00001000,0.00000000,-8.00000000,1.325708e-01,3.644355e-14,5.533692e-02,4.174141e-01,3.968509e+02,2.826265e+00,2.131891e+01,17.296476,2.882746
144.0000000000,380.00001000,0.00000000,-7.50000000,1.327690e-01,3.417192e-14,5.611387e-02,4.226430e-01,3.971475e+02,2.827843e+00,2.129898e+01,17.204544,2.867424
