T[MeV],muB[MeV],muS[MeV],muQ[MeV],nB[1/fm^3],nS[1/fm^3],nQ[1/fm^3],Q/B,e[MeV/fm^3],s[1/fm^3],s/nB,chi2,chi2/N_dof
137.0000000000,7.00001000,0.00000000,5.00000000,9.249499e-04,7.066844e-12,3.928526e-03,4.247286e+00,1.543726e+02,1.357382e+00,1.467520e+03,7.988463,1.997116
137.0000000000,7.00001000,0.00000000,6.00000000,9.738720e-04,1.871512e-11,4.646930e-03,4.771603e+00,1.543971e+02,1.357530e+00,1.393951e+03,7.941518,1.985380
137.0000000000,8.00001000,0.00000000,3.00000000,9.247191e-04,3.803409e-13,2.541522e-03,2.748426e+00,1.543442e+02,1.357216e+00,1.467706e+03,7.958973,1.989743
137.0000000000,8.00001000,0.00000000,4.00000000,9.735683e-04,1.957493e-12,3.259333e-03,3.347822e+00,1.543617e+02,1.357322e+00,1.394173e+03,7.685401,1.921350
137.0000000000,8.00001000,0.00000000,5.00000000,1.022471e-03,6.688347e-12,3.977439e-03,3.890025e+00,1.543829e+02,1.357451e+00,1.327617e+03,7.563181,1.890795
137.0000000000,8.00001000,0.00000000,6.00000000,1.071433e-03,1.789685e-11,4.695902e-03,4.382822e+00,1.544080e+02,1.357602e+00,1.267090e+03,7.586919,1.896730
137.0000000000,8.00001000,0.00000000,7.00000000,1.120460e-03,4.069148e-11,5.414788e-03,4.832648e+00,1.544369e+02,1.357776e+00,1.211803e+03,7.751386,1.937847
137.0000000000,9.00001000,0.00000000,2.00000000,9.733861e-04,2.632997e-14,1.872734e-03,1.923937e+00,1.543404e+02,1.357197e+00,1.394305e+03,7.809134,1.952283
137.0000000000,9.00001000,0.00000000,3.00000000,1.022216e-03,3.418888e-13,2.590362e-03,2.534065e+00,1.543546e+02,1.357284e+00,1.327786e+03,7.455578,1.863895
137.0000000000,9.00001000,0.00000000,4.00000000,1.071099e-03,1.818324e-12,3.308226e-03,3.088627e+00,1.543725e+02,1.357394e+00,1.267291e+03,7.255849,1.813962
137.0000000000,9.00001000,0.00000000,5.00000000,1.120040e-03,6.321925e-12,4.026391e-03,3.594862e+00,1.543943e+02,1.357526e+00,1.212033e+03,7.204494,1.801123
137.0000000000,9.00001000,0.00000000,6.00000000,1.169045e-03,1.709931e-11,4.744918e-03,4.058799e+00,1.544199e+02,1.357681e+00,1.161359e+03,7.296219,1.824055
137.0000000000,9.00001000,0.00000000,7.00000000,1.218117e-03,3.916315e-11,5.463872e-03,4.485505e+00,1.544493e+02,1.357858e+00,1.114719e+03,7.525893,1.881473
137.0000000000,9.00001000,0.00000000,8.00000000,1.267264e-03,7.967770e-11,6.183316e-03,4.879266e+00,1.544825e+02,1.358058e+00,1.071646e+03,7.888536,1.972134
137.0000000000,10.00001000,0.00000000,1.00000000,1.022089e-03,-1.946325e-11,1.204051e-03,1.178030e+00,1.543404e+02,1.357201e+00,1.327870e+03,7.737107,1.934277
137.0000000000,10.00001000,0.00000000,2.00000000,1.070899e-03,2.144804e-14,1.921554e-03,1.794337e+00,1.543513e+02,1.357269e+00,1.267411e+03,7.301221,1.825305
137.0000000000,10.00001000,0.00000000,3.00000000,1.119761e-03,3.059056e-13,2.639235e-03,2.356962e+00,1.543660e+02,1.357360e+00,1.212187e+03,7.021696,1.755424
137.0000000000,10.00001000,0.00000000,4.00000000,1.168680e-03,1.685223e-12,3.357157e-03,2.872605e+00,1.543844e+02,1.357473e+00,1.161544e+03,6.893014,1.723253
137.0000000000,10.00001000,0.00000000,5.00000000,1.217662e-03,5.967455e-12,4.075383e-03,3.346893e+00,1.544067e+02,1.357608e+00,1.114931e+03,6.909821,1.727455
