T[MeV],muB[MeV],muS[MeV],muQ[MeV],nB[1/fm^3],nS[1/fm^3],nQ[1/fm^3],Q/B,e[MeV/fm^3],s[1/fm^3],s/nB,chi2,chi2/N_dof
148.0000000000,0.00001000,0.00000000,-10.00000000,-5.949747e-04,-2.239972e-03,-1.110839e-02,1.867035e+01,2.680667e+02,2.152497e+00,-3.617795e+03,126.474831,31.618708
148.0000000000,0.00001000,0.00000000,-9.50000000,-5.651199e-04,-2.127810e-03,-1.055164e-02,1.867151e+01,2.680351e+02,2.152320e+00,-3.808608e+03,121.448884,30.362221
148.0000000000,0.00001000,0.00000000,-9.00000000,-5.352814e-04,-2.015673e-03,-9.995095e-03,1.867260e+01,2.680052e+02,2.152153e+00,-4.020601e+03,116.578877,29.144719
148.0000000000,0.00001000,0.00000000,-8.50000000,-5.054583e-04,-1.903559e-03,-9.438745e-03,1.867364e+01,2.679769e+02,2.151994e+00,-4.257511e+03,111.862350,27.965587
148.0000000000,0.00001000,0.00000000,-8.00000000,-4.756498e-04,-1.791469e-03,-8.882578e-03,1.867462e+01,2.679502e+02,2.151845e+00,-4.524010e+03,107.296879,26.824220
148.0000000000,0.00001000,0.00000000,-7.50000000,-4.458551e-04,-1.679399e-03,-8.326583e-03,1.867554e+01,2.679251e+02,2.151704e+00,-4.826017e+03,102.880072,25.720018
148.0000000000,0.00001000,0.00000000,-7.00000000,-4.160733e-04,-1.567350e-03,-7.770750e-03,1.867640e+01,2.679016e+02,2.151573e+00,-5.171140e+03,98.609572,24.652393
148.0000000000,0.00001000,0.00000000,-6.50000000,-3.863034e-04,-1.455319e-03,-7.215067e-03,1.867720e+01,2.678798e+02,2.151451e+00,-5.569330e+03,94.483051,23.620763
148.0000000000,0.00001000,0.00000000,-6.00000000,-3.565447e-04,-1.343305e-03,-6.659524e-03,1.867795e+01,2.678596e+02,2.151338e+00,-6.033851e+03,90.498218,22.624554
148.0000000000,0.00001000,0.00000000,-5.50000000,-3.267963e-04,-1.231307e-03,-6.104110e-03,1.867864e+01,2.678410e+02,2.151234e+00,-6.582797e+03,86.652809,21.663202
148.0000000000,0.00001000,0.00000000,-5.00000000,-2.970574e-04,-1.119324e-03,-5.548815e-03,1.867927e+01,2.678240e+02,2.151139e+00,-7.241493e+03,82.944595,20.736149
148.0000000000,0.00001000,0.00000000,-4.50000000,-2.673270e-04,-1.007354e-03,-4.993627e-03,1.867985e+01,2.678087e+02,2.151053e+00,-8.046524e+03,79.371376,19.842844
148.0000000000,0.00001000,0.00000000,-4.00000000,-2.376043e-04,-8.953954e-04,-4.438536e-03,1.868037e+01,2.677949e+02,2.150976e+00,-9.052765e+03,75.930983,18.982746
