T,µB,µQ,µS,p/T^4,s/T^3,nB/T^3,nS/T^3,nQ/T^3,ε/T^4,cs2,chiBB/T^2,chiQQ/T^2,chiSS/T^2,chiBQ/T^2,chiBS/T^2,chiQS/T^2,chiTB/T^2,chiTQ/T^2,chiTS/T^2,chiTT/T^2
5,-800,-800,-800,1.62537547e+09,2.14985821e+06,-2.56257929e+07,-1.43169343e+07,-6.44482327e+07,1.50793280e+10,1.17350470e-01,6.50525884e+05,2.15019522e+06,9.37471314e+05,9.28956998e+05,-3.20368094e+05,3.20371512e+05,-1.89219341e+04,-6.20192119e+04,-2.66142807e+04,2.13825081e+06
5,-800,-800,-600,1.43048632e+09,1.81921556e+06,-3.03229968e+07,-4.79663295e+05,-5.97517271e+07,1.30408483e+10,1.20544106e-01,5.49503234e+05,2.05008896e+06,8.82748244e+04,1.02997965e+06,-2.91183379e+04,3.00381485e+04,-2.74500669e+04,-5.52451880e+04,-3.99689140e+03,1.81261148e+06
5,-800,-800,-400,1.42887199e+09,1.78747713e+06,-3.04840661e+07,1.41544742e+03,-5.95927870e+07,1.29850987e+10,1.20878977e-01,5.40513596e+05,2.04017953e+06,7.16493753e+02,1.04040224e+06,-7.16474783e+02,-7.16455814e+02,-2.88102668e+04,-5.33479945e+04,6.20701673e+02,1.77780654e+06
5,-800,-800,-200,1.43065583e+09,1.80608702e+06,-3.05968866e+07,1.14235934e+05,-5.97056074e+07,1.30149799e+10,1.20754879e-01,5.46192822e+05,2.04585874e+06,6.39570089e+03,1.04608146e+06,-6.39570089e+03,-6.39570089e+03,-2.98343697e+04,-5.43718678e+04,1.64503428e+03,1.79596963e+06
5,-800,-800,0,1.44375346e+09,1.85256274e+06,-3.11014542e+07,6.18803530e+05,-6.02101750e+07,1.31679598e+10,1.20520105e-01,5.60313296e+05,2.05997921e+06,2.05161749e+04,1.06020194e+06,-2.05161749e+04,-2.05161749e+04,-3.05496491e+04,-5.50871473e+04,2.36031361e+03,1.84260721e+06
5,-800,-800,200,1.49495026e+09,2.02457759e+06,-3.27488752e+07,2.26622455e+06,-6.18575960e+07,1.37347587e+10,1.19030140e-01,6.12692462e+05,2.11235838e+06,7.28953408e+04,1.11258110e+06,-7.28953408e+04,-7.28953408e+04,-3.57797550e+04,-6.03172531e+04,7.59041962e+03,2.01280697e+06
5,-800,-800,400,1.67095669e+09,2.42526071e+06,-3.77745492e+07,7.54554115e+06,-6.66047842e+07,1.56358052e+10,1.16817326e-01,7.34105405e+05,2.21908988e+06,2.29762863e+05,1.21931260e+06,-2.06126477e+05,-1.79626839e+05,-4.13355767e+04,-6.37913874e+04,1.43591418e+04,2.41854849e+06
5,-800,-800,600,2.27299142e+09,3.42132464e+06,-5.28285684e+07,2.63051690e+07,-7.77000759e+07,2.17716333e+10,1.14738003e-01,1.03619773e+06,2.43968021e+06,8.28493900e+05,1.42049071e+06,-6.00627628e+05,-3.61392720e+05,-5.15901356e+04,-6.77203390e+04,2.94820104e+04,3.40919188e+06
5,-800,-800,800,4.35491262e+09,5.36334600e+06,-9.32802560e+07,9.05897116e+07,-9.31308685e+07,3.99705845e+10,1.22729774e-01,1.62157928e+06,2.76385420e+06,2.86156424e+06,1.54261940e+06,-1.60910248e+06,-2.93294307e+05,-7.31849302e+04,-6.02823839e+04,7.67518147e+04,5.33330406e+06
5,-800,-600,-800,2.71059693e+08,6.72280728e+05,-3.72318317e+06,-5.93256981e+06,-1.29449747e+07,2.82793003e+09,9.57244372e-02,2.03493593e+05,6.42508894e+05,3.83713659e+05,2.61487070e+05,-1.29381782e+05,1.30301592e+05,-1.09453721e+04,-2.83859430e+04,-6.86552471e+03,6.76063448e+05
5,-800,-600,-600,2.02449298e+08,5.25423351e+05,-5.71000040e+06,-2.13569239e-02,-1.09574557e+07,2.02657088e+09,9.17375264e-02,1.59474417e+05,5.97569927e+05,2.61326001e-02,3.05506245e+05,-2.38775507e-03,2.13570900e-02,-1.27441143e+04,-2.48083445e+04,-2.67863614e-01,5.26203178e+05
5,-800,-600,-400,2.02449298e+08,5.25423089e+05,-5.71000040e+06,-4.34840227e-07,-1.09574557e+07,2.02657087e+09,9.17375269e-02,1.59474416e+05,5.97569907e+05,4.34840261e-07,3.05506246e+05,-1.66202707e-14,-1.66201901e-14,-1.27441270e+04,-2.48081021e+04,-8.83542554e-06,5.26200164e+05
5,-800,-600,-200,2.02451423e+08,5.27755802e+05,-5.71141587e+06,1.41546638e+03,-1.09588711e+07,2.02691079e+09,9.17248235e-02,1.60190891e+05,5.98286382e+05,7.16474788e+02,3.06222721e+05,-7.16474783e+02,-7.16474779e+02,-1.33650584e+04,-2.54290335e+04,6.20931259e+02,5.28422441e+05
